ecosystem,environment,name,version,dependency_type,source,license_expression,evidence_url,review_status,redistribution,notes
dart,frontend,async,2.13.1,transitive,https://pub.dev,BSD-3-Clause,https://pub.dev/packages/async/versions/2.13.1,approved,retain license and copyright notices,exact pub.dev archive LICENSE
dart,frontend,boolean_selector,2.1.2,transitive,https://pub.dev,BSD-3-Clause,https://pub.dev/packages/boolean_selector/versions/2.1.2,approved,retain license and copyright notices,exact pub.dev archive LICENSE
dart,frontend,characters,1.4.1,transitive,https://pub.dev,BSD-3-Clause,https://pub.dev/packages/characters/versions/1.4.1,approved,retain license and copyright notices,exact pub.dev archive LICENSE
dart,frontend,clock,1.1.2,transitive,https://pub.dev,Apache-2.0,https://pub.dev/packages/clock/versions/1.1.2,approved,"retain license, copyright, attribution, and upstream NOTICE when present",exact pub.dev archive LICENSE
dart,frontend,collection,1.19.1,transitive,https://pub.dev,BSD-3-Clause,https://pub.dev/packages/collection/versions/1.19.1,approved,retain license and copyright notices,exact pub.dev archive LICENSE
dart,frontend,cupertino_icons,1.0.9,direct-main,https://pub.dev,MIT,https://pub.dev/packages/cupertino_icons/versions/1.0.9,approved,retain license and copyright notices,exact pub.dev archive LICENSE
dart,frontend,fake_async,1.3.3,transitive,https://pub.dev,Apache-2.0,https://pub.dev/packages/fake_async/versions/1.3.3,approved,"retain license, copyright, attribution, and upstream NOTICE when present",exact pub.dev archive LICENSE
dart,frontend,file,7.0.1,transitive,https://pub.dev,BSD-3-Clause,https://pub.dev/packages/file/versions/7.0.1,approved,retain license and copyright notices,exact pub.dev archive LICENSE
dart,frontend,flutter,0.0.0,direct-main,flutter-sdk,BSD-3-Clause,https://github.com/flutter/flutter/blob/ee80f08bbf97172ec030b8751ceab557177a34a6/LICENSE,approved,retain license and copyright notices,Flutter SDK package pinned by frontend/.metadata revision ee80f08bbf97172ec030b8751ceab557177a34a6
dart,frontend,flutter_driver,0.0.0,transitive,flutter-sdk,BSD-3-Clause,https://github.com/flutter/flutter/blob/ee80f08bbf97172ec030b8751ceab557177a34a6/LICENSE,approved,retain license and copyright notices,Flutter SDK package pinned by frontend/.metadata revision ee80f08bbf97172ec030b8751ceab557177a34a6
dart,frontend,flutter_lints,6.0.0,direct-dev,https://pub.dev,BSD-3-Clause,https://pub.dev/packages/flutter_lints/versions/6.0.0,approved,retain license and copyright notices,exact pub.dev archive LICENSE
dart,frontend,flutter_test,0.0.0,direct-dev,flutter-sdk,BSD-3-Clause,https://github.com/flutter/flutter/blob/ee80f08bbf97172ec030b8751ceab557177a34a6/LICENSE,approved,retain license and copyright notices,Flutter SDK package pinned by frontend/.metadata revision ee80f08bbf97172ec030b8751ceab557177a34a6
dart,frontend,fuchsia_remote_debug_protocol,0.0.0,transitive,flutter-sdk,BSD-3-Clause,https://github.com/flutter/flutter/blob/ee80f08bbf97172ec030b8751ceab557177a34a6/LICENSE,approved,retain license and copyright notices,Flutter SDK package pinned by frontend/.metadata revision ee80f08bbf97172ec030b8751ceab557177a34a6
dart,frontend,http,1.6.0,direct-main,https://pub.dev,BSD-3-Clause,https://pub.dev/packages/http/versions/1.6.0,approved,retain license and copyright notices,exact pub.dev archive LICENSE
dart,frontend,http_parser,4.1.2,transitive,https://pub.dev,BSD-3-Clause,https://pub.dev/packages/http_parser/versions/4.1.2,approved,retain license and copyright notices,exact pub.dev archive LICENSE
dart,frontend,integration_test,0.0.0,direct-dev,flutter-sdk,BSD-3-Clause,https://github.com/flutter/flutter/blob/ee80f08bbf97172ec030b8751ceab557177a34a6/LICENSE,approved,retain license and copyright notices,Flutter SDK package pinned by frontend/.metadata revision ee80f08bbf97172ec030b8751ceab557177a34a6
dart,frontend,leak_tracker,11.0.2,transitive,https://pub.dev,BSD-3-Clause,https://pub.dev/packages/leak_tracker/versions/11.0.2,approved,retain license and copyright notices,exact pub.dev archive LICENSE
dart,frontend,leak_tracker_flutter_testing,3.0.10,transitive,https://pub.dev,BSD-3-Clause,https://pub.dev/packages/leak_tracker_flutter_testing/versions/3.0.10,approved,retain license and copyright notices,exact pub.dev archive LICENSE
dart,frontend,leak_tracker_testing,3.0.2,transitive,https://pub.dev,BSD-3-Clause,https://pub.dev/packages/leak_tracker_testing/versions/3.0.2,approved,retain license and copyright notices,exact pub.dev archive LICENSE
dart,frontend,lints,6.1.0,transitive,https://pub.dev,BSD-3-Clause,https://pub.dev/packages/lints/versions/6.1.0,approved,retain license and copyright notices,exact pub.dev archive LICENSE
dart,frontend,matcher,0.12.19,transitive,https://pub.dev,BSD-3-Clause,https://pub.dev/packages/matcher/versions/0.12.19,approved,retain license and copyright notices,exact pub.dev archive LICENSE
dart,frontend,material_color_utilities,0.13.0,transitive,https://pub.dev,Apache-2.0,https://pub.dev/packages/material_color_utilities/versions/0.13.0,approved,"retain license, copyright, attribution, and upstream NOTICE when present",exact pub.dev archive LICENSE
dart,frontend,meta,1.18.0,transitive,https://pub.dev,BSD-3-Clause,https://pub.dev/packages/meta/versions/1.18.0,approved,retain license and copyright notices,exact pub.dev archive LICENSE
dart,frontend,path,1.9.1,transitive,https://pub.dev,BSD-3-Clause,https://pub.dev/packages/path/versions/1.9.1,approved,retain license and copyright notices,exact pub.dev archive LICENSE
dart,frontend,platform,3.1.6,transitive,https://pub.dev,BSD-3-Clause,https://pub.dev/packages/platform/versions/3.1.6,approved,retain license and copyright notices,exact pub.dev archive LICENSE
dart,frontend,process,5.0.5,transitive,https://pub.dev,BSD-3-Clause,https://pub.dev/packages/process/versions/5.0.5,approved,retain license and copyright notices,exact pub.dev archive LICENSE
dart,frontend,sky_engine,0.0.0,transitive,flutter-sdk,BSD-3-Clause,https://github.com/flutter/flutter/blob/ee80f08bbf97172ec030b8751ceab557177a34a6/LICENSE,approved,retain license and copyright notices,Flutter SDK package pinned by frontend/.metadata revision ee80f08bbf97172ec030b8751ceab557177a34a6
dart,frontend,source_span,1.10.2,transitive,https://pub.dev,BSD-3-Clause,https://pub.dev/packages/source_span/versions/1.10.2,approved,retain license and copyright notices,exact pub.dev archive LICENSE
dart,frontend,stack_trace,1.12.1,transitive,https://pub.dev,BSD-3-Clause,https://pub.dev/packages/stack_trace/versions/1.12.1,approved,retain license and copyright notices,exact pub.dev archive LICENSE
dart,frontend,stream_channel,2.1.4,transitive,https://pub.dev,BSD-3-Clause,https://pub.dev/packages/stream_channel/versions/2.1.4,approved,retain license and copyright notices,exact pub.dev archive LICENSE
dart,frontend,string_scanner,1.4.1,transitive,https://pub.dev,BSD-3-Clause,https://pub.dev/packages/string_scanner/versions/1.4.1,approved,retain license and copyright notices,exact pub.dev archive LICENSE
dart,frontend,sync_http,0.3.1,transitive,https://pub.dev,BSD-3-Clause,https://pub.dev/packages/sync_http/versions/0.3.1,approved,retain license and copyright notices,exact pub.dev archive LICENSE
dart,frontend,term_glyph,1.2.2,transitive,https://pub.dev,BSD-3-Clause,https://pub.dev/packages/term_glyph/versions/1.2.2,approved,retain license and copyright notices,exact pub.dev archive LICENSE
dart,frontend,test_api,0.7.11,transitive,https://pub.dev,BSD-3-Clause,https://pub.dev/packages/test_api/versions/0.7.11,approved,retain license and copyright notices,exact pub.dev archive LICENSE
dart,frontend,typed_data,1.4.0,transitive,https://pub.dev,BSD-3-Clause,https://pub.dev/packages/typed_data/versions/1.4.0,approved,retain license and copyright notices,exact pub.dev archive LICENSE
dart,frontend,vector_math,2.2.0,transitive,https://pub.dev,BSD-3-Clause,https://pub.dev/packages/vector_math/versions/2.2.0,approved,retain license and copyright notices,exact pub.dev archive LICENSE
dart,frontend,vm_service,15.2.0,transitive,https://pub.dev,BSD-3-Clause,https://pub.dev/packages/vm_service/versions/15.2.0,approved,retain license and copyright notices,exact pub.dev archive LICENSE
dart,frontend,web,1.1.1,transitive,https://pub.dev,BSD-3-Clause,https://pub.dev/packages/web/versions/1.1.1,approved,retain license and copyright notices,exact pub.dev archive LICENSE
dart,frontend,webdriver,3.1.0,transitive,https://pub.dev,Apache-2.0,https://pub.dev/packages/webdriver/versions/3.1.0,approved,"retain license, copyright, attribution, and upstream NOTICE when present",exact pub.dev archive LICENSE
python,backend,aiohappyeyeballs,2.7.1,transitive,https://pypi.org/simple,PSF-2.0,https://pypi.org/project/aiohappyeyeballs/2.7.1/,approved,retain license and copyright notices,exact PyPI release metadata; classifiers normalized only when unambiguous
python,backend,aiohttp,3.14.1,transitive,https://pypi.org/simple,Apache-2.0 AND MIT,https://pypi.org/project/aiohttp/3.14.1/,approved,"retain license, copyright, attribution, and upstream NOTICE when present",exact PyPI release metadata; classifiers normalized only when unambiguous
python,backend,aiosignal,1.4.0,transitive,https://pypi.org/simple,Apache-2.0,https://pypi.org/project/aiosignal/1.4.0/,approved,"retain license, copyright, attribution, and upstream NOTICE when present",exact PyPI release metadata; classifiers normalized only when unambiguous
python,backend,annotated-doc,0.0.4,transitive,https://pypi.org/simple,MIT,https://pypi.org/project/annotated-doc/0.0.4/,approved,retain license and copyright notices,exact PyPI release metadata; classifiers normalized only when unambiguous
python,backend,annotated-types,0.7.0,transitive,https://pypi.org/simple,MIT,https://pypi.org/project/annotated-types/0.7.0/,approved,retain license and copyright notices,exact PyPI release metadata; classifiers normalized only when unambiguous
python,backend,anyio,4.14.1,transitive,https://pypi.org/simple,MIT,https://pypi.org/project/anyio/4.14.1/,approved,retain license and copyright notices,exact PyPI release metadata; classifiers normalized only when unambiguous
python,backend,async-timeout,5.0.1,transitive,https://pypi.org/simple,Apache-2.0,https://pypi.org/project/async-timeout/5.0.1/,approved,"retain license, copyright, attribution, and upstream NOTICE when present",exact PyPI release metadata; classifiers normalized only when unambiguous
python,backend,attrs,26.1.0,transitive,https://pypi.org/simple,MIT,https://pypi.org/project/attrs/26.1.0/,approved,retain license and copyright notices,exact PyPI release metadata; classifiers normalized only when unambiguous
python,backend,bcrypt,5.0.0,transitive,https://pypi.org/simple,Apache-2.0,https://pypi.org/project/bcrypt/5.0.0/,approved,"retain license, copyright, attribution, and upstream NOTICE when present",exact PyPI release metadata; classifiers normalized only when unambiguous
python,backend,build,1.5.1,transitive,https://pypi.org/simple,MIT,https://pypi.org/project/build/1.5.1/,approved,retain license and copyright notices,exact PyPI release metadata; classifiers normalized only when unambiguous
python,backend,certifi,2026.6.17,transitive,https://pypi.org/simple,MPL-2.0,https://pypi.org/project/certifi/2026.6.17/,approved,retain MPL notices and provide source for modified MPL-covered files,exact PyPI release metadata; classifiers normalized only when unambiguous
python,backend,charset-normalizer,3.4.9,transitive,https://pypi.org/simple,MIT,https://pypi.org/project/charset-normalizer/3.4.9/,approved,retain license and copyright notices,exact PyPI release metadata; classifiers normalized only when unambiguous
python,backend,chromadb,1.5.9,direct-main,https://pypi.org/simple,Apache-2.0,https://pypi.org/project/chromadb/1.5.9/,approved,"retain license, copyright, attribution, and upstream NOTICE when present",exact PyPI release metadata; classifiers normalized only when unambiguous
python,backend,click,8.4.2,transitive,https://pypi.org/simple,BSD-3-Clause,https://pypi.org/project/click/8.4.2/,approved,retain license and copyright notices,exact PyPI release metadata; classifiers normalized only when unambiguous
python,backend,colorama,0.4.6,transitive,https://pypi.org/simple,BSD-3-Clause,https://pypi.org/project/colorama/0.4.6/,approved,retain license and copyright notices,exact PyPI release metadata; classifiers normalized only when unambiguous
python,backend,coloredlogs,15.0.1,transitive,https://pypi.org/simple,MIT,https://pypi.org/project/coloredlogs/15.0.1/,approved,retain license and copyright notices,exact PyPI release metadata; classifiers normalized only when unambiguous
python,backend,content-retrieval-backend,0.1.0,project,virtual:.,Apache-2.0,LICENSE,project-owned,covered by the project Apache-2.0 LICENSE,project package
python,backend,coverage,7.15.0,transitive,https://pypi.org/simple,Apache-2.0,https://pypi.org/project/coverage/7.15.0/,approved,"retain license, copyright, attribution, and upstream NOTICE when present",exact PyPI release metadata; classifiers normalized only when unambiguous
python,backend,durationpy,0.10,transitive,https://pypi.org/simple,MIT,https://pypi.org/project/durationpy/0.10/,approved,retain license and copyright notices,exact PyPI release metadata; classifiers normalized only when unambiguous
python,backend,exceptiongroup,1.3.1,transitive,https://pypi.org/simple,MIT,https://pypi.org/project/exceptiongroup/1.3.1/,approved,retain license and copyright notices,exact PyPI release metadata; classifiers normalized only when unambiguous
python,backend,fastapi,0.139.0,direct-main,https://pypi.org/simple,MIT,https://pypi.org/project/fastapi/0.139.0/,approved,retain license and copyright notices,exact PyPI release metadata; classifiers normalized only when unambiguous
python,backend,filelock,3.29.7,transitive,https://pypi.org/simple,MIT,https://pypi.org/project/filelock/3.29.7/,approved,retain license and copyright notices,exact PyPI release metadata; classifiers normalized only when unambiguous
python,backend,flatbuffers,25.12.19,transitive,https://pypi.org/simple,Apache-2.0,https://pypi.org/project/flatbuffers/25.12.19/,approved,"retain license, copyright, attribution, and upstream NOTICE when present",exact PyPI release metadata; classifiers normalized only when unambiguous
python,backend,frozenlist,1.8.0,transitive,https://pypi.org/simple,Apache-2.0,https://pypi.org/project/frozenlist/1.8.0/,approved,"retain license, copyright, attribution, and upstream NOTICE when present",exact PyPI release metadata; classifiers normalized only when unambiguous
python,backend,fsspec,2026.6.0,transitive,https://pypi.org/simple,BSD-3-Clause,https://pypi.org/project/fsspec/2026.6.0/,approved,retain license and copyright notices,exact PyPI release metadata; classifiers normalized only when unambiguous
python,backend,googleapis-common-protos,1.75.0,transitive,https://pypi.org/simple,Apache-2.0,https://pypi.org/project/googleapis-common-protos/1.75.0/,approved,"retain license, copyright, attribution, and upstream NOTICE when present",exact PyPI release metadata; classifiers normalized only when unambiguous
python,backend,grpcio,1.82.1,transitive,https://pypi.org/simple,Apache-2.0,https://pypi.org/project/grpcio/1.82.1/,approved,"retain license, copyright, attribution, and upstream NOTICE when present",exact PyPI release metadata; classifiers normalized only when unambiguous
python,backend,h11,0.16.0,transitive,https://pypi.org/simple,MIT,https://pypi.org/project/h11/0.16.0/,approved,retain license and copyright notices,exact PyPI release metadata; classifiers normalized only when unambiguous
python,backend,hf-xet,1.5.1,transitive,https://pypi.org/simple,Apache-2.0,https://pypi.org/project/hf-xet/1.5.1/,approved,"retain license, copyright, attribution, and upstream NOTICE when present",exact PyPI release metadata; classifiers normalized only when unambiguous
python,backend,httpcore,1.0.9,transitive,https://pypi.org/simple,BSD-3-Clause,https://pypi.org/project/httpcore/1.0.9/,approved,retain license and copyright notices,exact PyPI release metadata; classifiers normalized only when unambiguous
python,backend,httptools,0.8.0,transitive,https://pypi.org/simple,MIT,https://pypi.org/project/httptools/0.8.0/,approved,retain license and copyright notices,exact PyPI release metadata; classifiers normalized only when unambiguous
